NOME,PRATO,DESCRICAO,ENDERECO,TELEFONE,IMG_URL
Café Palhares,Polpeta de Berinjela com Dois Queijos,"Polpetas de berinjela com queijo parmesão, muçarela, manjericão e salsinha. Servidas com pasta de grão-de-bico.","Rua dos Tupinambás, 638 | Centro, Belo Horizonte – MG",3132011841,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050219/cafepalhares_polpetadeberingelacomdoisqueijos_bh_2025_fernandaoliveira_unibh-8289-scaled.jpg
Camisola Bar,Costela Mineira,"Costela de boi cozida na cerveja preta, acompanhada com um purê de mandioca com queijo.","Rua Luther King, 242 | Cidade Nova, Belo Horizonte – MG",31999486915,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151142/camisola_costelamineira_bh_2025_rodneycosta_unibh-7449-scaled.jpg
Canela Amarela,Bola na Rede,"Almôndegas bovinas sobre a cama de creme de queijos, acompanhadas de torradas de pão de alho e finalizada com tomatinho e manjericão. Acompanha molho da casa.","Praça Leonardo Gutierrez, 195 | Gutierrez, Belo Horizonte – MG",3136540414,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151248/canelaamarela_bolanarede_bh_2025_isaquerodrigues_unibh-9287-scaled.jpg
Cantina Arte Quintal,Fraldinha Assada na Cachaça e Cerveja,"Fraldinha assada flambada na cachaça e cerveja com calda de maracujá, farofa de alho-poró e banana frita curtida ao bacon.","Rua Realengo, 150 | Caiçara, Belo Horizonte – MG",31999476695,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151606/cantinaartequinta_fraudinhaacachacaecerveja_bh_2025_isaquerodrigues_unibh-7690-scaled.jpg
Cantinho da Baiana,Mineirou nos 25,"Tiras de galeto, envoltas em casquinha crocante de queijo parmesão. Acompanhados por creme de bacon crispy.","Avenida Itaité, 422 | São Geraldo, Belo Horizonte – MG",31997627848,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151713/cantinhodabaianamineirounos25_bh_2025_rodneycosta_unibh-8748-scaled.jpg
Casa da Madrinha,Bem Mineiro,Polenta crocante com ragu de frango com quiabo e o toque inconfundível do queijo minas.,"Avenida Barbacena, 212 | Barro Preto, Belo Horizonte – MG",3130474787,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151819/casadamadrinha_bemmineiro_bh_2025_amandacantanhede_unibh-8867-scaled.jpg
Cervejaria Pajé,XUKURU KARIRI,"Amassado de mandioca amarela, temperada e recheada com bacon e queijo, acompanhado de calda de abacaxi ‘smooth Cayenne’ e molho ‘Buffalo’ picante.","Avenida Capim Branco, 419 | Vista Alegre, Belo Horizonte – MG",31985946820,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151930/cervejariapaje_xukurukariri_bh_2025_mylenaizis_unibh-8027-scaled.jpg
Chapa Mágica,Incangado de inhame com bacon dona Biu,Purê de inhame com bacon.,"Avenida Waldomiro Lobo, 305 | Guarani, Belo Horizonte – MG","(31) 3213-0058
(31) 97523-4848",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152044/chapamagica_incangadodeihameebancondadonabiu_bh_2025_amandacantanhede_unibh-8830-scaled.jpg
Choperia América Norte Sul,Tira gosto escondido,"Pastel recheado com carne bovina defumada e desfiada, muçarela, palmito, cebola, azeitona, requeijão. Acompanha molho da casa e salada de agrião e tomate.","Rua Chico Rei, 190 | Estrela do Oriente, Belo Horizonte – MG",31995922703,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050104/americanorteesul_tiragostoescondido_bh_2025_rodneycosta_unibh-7408-scaled.jpg
Chopp da Esquina,Rolê do Chopp,"Bife a rolê, acompanha farofa de torresmo.","Rua Garret, 263 | Nova Granada, Belo Horizonte – MG",31971407790,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152143/choppdaesquina_roledochopp_bh_2025_isaquerodrigues_unibh-8826-scaled.jpg
